hscodes,descriptions
6201201100,"- - - Overcoats, carcoats, capes, cloaks and similar coats"
6201209000,"- - - Anoraks (including ski-jackets), windbreakers and similar articles
(including padded, sleeveless jackets)"
nan,
6201302015,- - - Raincoats
6201302200,"- - - Other overcoats, carcoats, capes, cloaks and similar coats"
6201309000,"- - - Anoraks (including ski-jackets), windbreakers and similar articles
(including padded, sleeveless jackets)"
nan,
6201402010,- - - Raincoats
6201402200,"- - - Other overcoats, carcoats, capes, cloaks and similar coats"
6201409000,"- - - Anoraks (including ski-jackets), windbreakers and similar articles
(including padded, sleeveless jackets)"
nan,
6201901100,"- - - Overcoats, carcoats, capes, cloaks and similar coats"
6201909000,"- - - Anoraks (including ski-jackets), windbreakers and similar articles
(including padded, sleeveless jackets)"
nan,
6202201100,"- - - Overcoats, carcoats, capes, cloaks and similar coats"
6202209000,"- - - Anoraks (including ski-jackets), windbreakers and similar articles (including padded, sleeveless jackets)"
nan,
6202302015,- - - Raincoats
6202302200,"- - - Other overcoats, carcoats, capes, cloaks and similar coats"
6202309000,"- - - Anoraks (including ski-jackets), windbreakers and similar articles
(including padded, sleeveless jackets)"
nan,
6202402015,- - - Raincoats
6202402200,"- - - Other overcoats, carcoats, capes, cloaks and similar coats"
6202409000,"- - - Anoraks (including ski-jackets), windbreakers and similar articles
(including padded, sleeveless jackets)"
nan,
6202901100,"- - - Overcoats, carcoats, capes, cloaks and similar coats"
"Schedule B No
and Headings",Commodity Description
6202909000,"- - - Anoraks (including ski-jackets), windbreakers and similar articles
(including padded, sleeveless jackets)"
nan,
nan,- - Suits:
nan,- - Ensembles:
6203291200,- - - - Of wool or fine animal hair
6203292000,- - - - Of artificial fibers
6203293000,- - - - Other
nan,- - Suit-type jackets and blazers:
6203391500,- - - - Of artificial fibers
6203394000,- - - - Other
nan,"- - Trousers, bib and brace overalls, breeches and shorts:"
6203421000,"- - - - Containing 15 percent or more by weight of down and waterfowl plumage and of which down comprises 35 percent or
more by weight; containing 10 percent or more by weight of down"
nan,
nan,- - - - Other:
6203422000,- - - - - Bib and brace overalls
nan,- - - - - Trousers and breeches:
6203424007,- - - - - - Corduroy
6203424013,- - - - - - Blue Denim
6203424017,- - - - - - Other
6203424077,- - - - - Shorts
